CustLocation,TotalTransactions,TotalAmount,AvrageAmount
JAMSHEDPUR,196,186860.2,953.3683673
JHAJJAR,114,253084.18,2220.036667
MUMBAI,11763,18727697.51,1592.085141
NAVI MUMBAI,1386,2186807.72,1577.783348
ITANAGAR,23,23231.49,1010.064783
GURGAON,8325,11685430.64,1403.655332
MOHALI,748,1291082.69,1726.046377
GUNTUR,306,338889.68,1107.482614
AHMEDABAD,1399,2423010.71,1731.959049
THANE,2485,3297518.59,1326.969252
PUNE,2797,3540829.07,1265.938173
NEW DELHI,9454,17119484.35,1810.819161
NO 3 KALYANI NAGAR PUNE,24,5264.65,219.3604167
SECUNDERABAD,250,271939.5,1087.758
WAYS PANCHKUVA AHMEDABAD,5,3995,799
LUCKNOW,869,1546743.13,1779.911542
DELHI,8077,11322645.3,1401.837972
CHENNAI,3327,4535971.43,1363.381855
GHAZIABAD,1735,2949836.63,1700.194023
BANGALORE,9302,14688175.7,1579.034154
GUWAHATI,318,458199.15,1440.87783
DHANBAD,118,818640.45,6937.630932
MUKTSAR,53,107403.46,2026.480377
SOCORRO,7,6189.13,884.1614286
ANDHERI (EAST) MUMBAI,9,1593,177
AURANGABAD,339,454821.33,1341.655841
KOTA,134,122202.5,911.9589552
JAIPUR,1172,1459698.04,1245.476143
K V RANGAREDDY,78,49893.42,639.6592308
MUZAFFARNAGAR,37,57038.58,1541.583243
BURDWAN,133,150602.11,1132.346692
LUDHIANA,548,727702.39,1327.924069
NOIDA,3578,4676646.98,1307.056171
AGRA,398,547075.71,1374.562085
SHAHJAHANPUR,34,63329.38,1862.628824
DIST RAIGAD PANVEL,1,4387,4387
DEHRADUN,487,636196.15,1306.357598
HYDERABAD,2677,5006539.94,1870.205431
GODDA,5,3221,644.2
REWARI (HARYANA),44,37449.97,851.1356818
NELLORE,129,158670.19,1230.001473
ADIPUR,12,40708,3392.333333
DUBAI,67,238437.58,3558.769851
ALLAHABAD,188,871895.38,4637.741383
BATHINDA,115,145660.64,1266.614261
NASHIK,548,576593.73,1052.178339
JAMMU,109,277081.8,2542.034862
JABALPUR,100,99356.81,993.5681
KASHIPUR,82,150521.81,1835.631829
ETAH,6,2819,469.8333333
KOLKATA,2278,7672240.3,3367.972037
VADODARA,419,960091.97,2291.38895
TIRUPUR,55,39693.81,721.7056364
SURAT,620,798883.03,1288.521016
NAGO THANE,1,59,59
KARUR DT,3,2818,939.3333333
CHITTO0R,91,36354.72,399.5024176
INDORE,440,684939.74,1556.681227
OFF CUBBON ROAD BANGALORE,1,25,25
PIMPALI,1,1747,1747
PUMP HINJEWADI PUNE,7,1224,174.8571429
KANJURMARG EAST,2,500,250
SOUTH 24 PARGANAS,100,63132.55,631.3255
MIRABHAYANDER THANE MIRA ROAD,1,50,50
SAHARANPUR,172,184073.7,1070.19593
CHANDIGARH,1117,1863601.05,1668.398433
COMPLEX GURGAON,6,506,84.33333333
PARK PHASE-I HINJEWADI PUNE,7,1456,208
GULBARGA,20,7342.89,367.1445
KANPUR,393,647867.72,1648.518372
VISAKHAPATNAM,521,1212508.21,2327.271036
HISAR,40,17347.61,433.69025
FORT MUMBAI,4,8354.03,2088.5075
PATHANKOT,63,192132.91,3049.72873
SUNDARGARH,10,58051.68,5805.168
MARGAO,36,148205.79,4116.8275
DHULE,16,9510.69,594.418125
BANGALORE NORTH,14,7873,562.3571429
ZIRAKPUR,201,330783.9,1645.691045
SURYAPET,14,20424,1458.857143
BHIWANDI,101,114327.89,1131.959307
RAJKOT,223,711528.03,3190.708655
AMBEDKAR NAGAR,6,1561,260.1666667
PURI,51,84976.49,1666.205686
NAGAI DT,2,409,204.5
