CustomerID,CustLocation,TransactionAmount
C1830891,KOLKATA,720001.16
C7367184,"GATE NO 4 MUMBAI",455122
C5133852,MUNCHEN,400000
C6514935,BANGALORE,346003.9
C2345913,HYDERABAD,310002.83
C9067184,"GATE NO 4 MUMBAI",300000
C1625456,MUMBAI,286100.12
C4012590,COIMBATORE,200000
C6112864,MUMBAI,200000
C5015870,KANPUR,195000
C5416320,VADODARA,182430
C4467189,"GATE NO 4 MUMBAI",179989
C5035880,RAJKOT,170000
C8421969,"PALYA BANGALORE",163000
C4822727,NOIDA,160000
C4227687,DELHI,154309
C2811139,BILASPUR,151373
C6019346,MUMBAI,150000
C8712880,MUMBAI,150000
C6419686,BANGALORE,149205
C7619616,BANGALORE,149205
C8739455,BANGALORE,146905
C7675278,NOIDA,137890
C8130878,GURGAON,135258
C7035629,"TALUK BANGALORE",134900
C1225314,KOLKATA,134110
C2521743,"VATSALYA GUEST HOUSE HYDERABAD",133950
C2423521,CHOOLAIMEDU,131258.5
C7934012,BAREILLY,129500.12
C8722467,MORADABAD,126988
C4715730,"NEW DELHI",125952.13
C3118512,"KANPUR NAGAR",125000
C1042892,HYDERABAD,122500
C6648541,THANE,118629
C7048591,THANE,118629
C5199076,DELHI,115476
C2220142,BANGALORE,114700
C6425361,KOLKATA,110437
C7541321,AHMEDABAD,106463
C6835839,KASHIPUR,103796.63
C2719676,BANGALORE,101500
C6225911,DHANBAD,100000
C5427671,DELHI,100000
C8025930,DHANBAD,100000
C6012588,COIMBATORE,100000
C4812584,COIMBATORE,100000
C7525325,KOLKATA,100000
C3430880,GURGAON,100000
C4831861,ALLAHABAD,100000
C8336962,PUNE,100000
C6425354,KOLKATA,100000
C7532866,KOLKATA,100000
C8432816,KOLKATA,100000
C8825321,KOLKATA,100000
C9025359,KOLKATA,100000
C6513062,"AZAD NGR SANDOZ BAUGH THANE",100000
C5525364,KOLKATA,100000
C3332376,VARANASI,100000
C6912819,MUMBAI,100000
C2829122,HYDERABAD,100000
C5225344,KOLKATA,100000
C7232812,KOLKATA,100000
C8125360,KOLKATA,100000
C4325958,DHANBAD,100000
C5025338,KOLKATA,100000
C8525916,DHANBAD,100000
C8632362,VARANASI,100000
C7942426,BANGALORE,100000
C6448549,THANE,100000
C5032843,KOLKATA,100000
C7925355,KOLKATA,100000
C2741353,GURGAON,100000
C8221731,"NEW DELHI",100000
C7432377,VARANASI,100000
C7892239,"NEW DELHI",100000
C6125349,KOLKATA,100000
C4325344,KOLKATA,100000
C7136712,NOIDA,100000
C6832824,KOLKATA,100000
C3232835,KOLKATA,100000
C7325344,KOLKATA,100000
C4925912,DHANBAD,100000
C4212038,NOIDA,100000
C8332825,KOLKATA,100000
C4622328,HYDERABAD,100000
C2025369,KOLKATA,100000
C2323516,CHOOLAIMEDU,100000
C5697962,GURGAON,100000
C7433884,MUNCHEN,100000
C8724653,GHAZIABAD,100000
C4325361,KOLKATA,100000
C6629680,HOWRAH,100000
C1631481,WARANGAL,100000
C3414431,CHANDIGARH,100000
C4014473,CHANDIGARH,100000
C7814446,CHANDIGARH,100000
C8832833,KOLKATA,100000
C3722380,HYDERABAD,100000
C6833840,MUNCHEN,100000
C6833816,MUNCHEN,100000
